model,category,baseline_top1,disabled_top1,residual_pct,delta_pct,peak_layer,mode_subclass
bloom_7b1,CONCENTRATED,3540.6,59.94,1.6929334011184545,-98.31,12,Gen*
falcon_7b,FEW-SOURCE,1827.2,1436.6,78.62302977232925,-21.38,23,Gen
glm4_32b,CONCENTRATED,298598.4,797081.6,266.9410150891632,166.94,1,Sup
glm4_9b,FEW-SOURCE,2250.4,1239.6,55.08354070387485,-44.92,1,Gen
gpt2,FEW-SOURCE,982.67,393.01,39.99409771337275,-60.01,16,Gen
gptj_6b,CONCENTRATED,4246.0,240.03,5.6530852567122,-94.35,16,Gen
llama2_13b,FEW-SOURCE,1282.8,263.02,20.50358590583099,-79.5,22,Gen
llama2_7b_chat,,2111.8,12811.6,606.6672980395871,506.67,22,Sup
llama3.1_8b,FEW-SOURCE,314.45,136.55,43.4250278263635,-56.57,17,Gen
mistral_7b_v03,CONCENTRATED,314.2,259.0,82.43157224697644,-17.57,25,Gen
opt_6.7b,ANOMALY_NO_MLP_RESPONSE,391.06,1369.75,350.26594384493427,250.26,25,Sup
qwen1.5_14b,DISPERSED,7444.0,6317.2,84.86297689414293,-15.14,37,Gen
qwen2.5_0.5b,CONCENTRATED,1691.8,917.5,54.232178744532455,-45.77,15,Gen
qwen2.5_7b,CONCENTRATED,11885.6,43520.0,366.15736689775866,266.16,16,Sup
qwen2_7b,CONCENTRATED,6986.67,5330.0,76.28813154192198,-23.71,16,Gen
qwen3.5_27b,DISPERSED,1000.0,840.0,84.0,-16.0,58,Gen
qwen3.5_35b_a3b,FEW-SOURCE,39.9,41.95,105.13784461152883,5.14,39,Sup
qwen3.5_9b,DISPERSED,353.2,295.6,83.69195922989809,-16.31,31,Gen
qwen3_0.6b,CONCENTRATED,6871.2,1603.2,23.33216905344045,-76.67,25,Gen
qwen3_1.7b,FEW-SOURCE,12582.4,9818.4,78.03280773143439,-21.97,25,Gen
qwen3_14b,DISPERSED,15204.8,28112.0,184.88898242660215,84.89,33,Sup
qwen3_30b_a3b,DISPERSED,1206.6,967.3,80.16741256423006,-19.83,36,Gen
qwen3_32b,DISPERSED,27417.6,43680.0,159.31372549019608,59.31,53,Sup
qwen3_4b,FEW-SOURCE,8525.6,7407.2,86.88186168715399,-13.12,17,Gen
qwen3_8b,DISPERSED,13336.0,8791.2,65.92081583683263,-34.08,33,Gen
yi_9b,DISPERSED,5004.0,6368.0,127.2581934452438,27.26,47,Sup
