model,category,baseline_max,disabled_max,retain_pct_CORRECTED,L_origin,n_disabled
bloom_7b1,CONCENTRATED,3631.33,0.0,0.0,3,1
falcon_7b,FEW-SOURCE,1871.83,29.66,1.58,3,2
glm4_32b,CONCENTRATED,4328.53,546.33,12.62,0,1
glm4_9b,FEW-SOURCE,2250.4,100.75,4.48,1,2
gpt2,FEW-SOURCE,3021.33,130.8,4.33,3,3
gptj_6b,CONCENTRATED,4185.27,79.23,1.89,2,1
llama2_13b,FEW-SOURCE,1282.80,49.28,3.84,0,3
llama2_7b_chat,,2194.57,24.0,1.09,,0
llama3.1_8b,FEW-SOURCE,314.45,8.8,2.8,1,2
mistral_7b_v03,CONCENTRATED,318.37,2.64,0.83,0,1
opt_6.7b,ANOMALY,367.61,181.48,49.4,,0
qwen1.5_14b,DISPERSED,7444.0,157.22,2.11,35,15
qwen2.5_0.5b,CONCENTRATED,1623.9,26.45,1.63,0,1
qwen2.5_7b,CONCENTRATED,11509.87,65.82,0.57,3,1
qwen2_7b,CONCENTRATED,6925.6,33.38,0.48,3,1
qwen3.5_27b,DISPERSED,1000.0,99.6,9.96,54,12
qwen3.5_35b_a3b,FEW-SOURCE,37.78,33.09,87.57,9,3
qwen3.5_9b,DISPERSED,353.2,113.3,32.08,22,15
qwen3_0.6b,CONCENTRATED,6871.2,88.64,1.29,2,1
qwen3_1.7b,FEW-SOURCE,12582.4,364.75,2.9,2,3
qwen3_14b,DISPERSED,15204.8,160.38,1.05,6,15
qwen3_30b_a3b,DISPERSED,1212.0,3.23,0.27,1,10
qwen3_32b,DISPERSED,27417.6,150.75,0.55,6,10
qwen3_4b,FEW-SOURCE,8525.6,24.91,0.29,6,2
qwen3_8b,DISPERSED,13336.0,137.05,1.03,6,15
yi_9b,DISPERSED,5004.0,59.5,1.19,8,5
