model,category,L,sigma1,sigma_ratio,R2,slope_beta,intercept_b,max_proj_F,max_MA_F,category_modal
bloom_7b1,CONCENTRATED,3,15.113442033450562,1.4134749945492586,0.00010585269530851533,-0.07643216585528734,5.580783439033912,2.676787974648922,35.46875,CONCENTRATED
falcon_7b,FEW-SOURCE,3,13.273572457652072,1.3653243350031894,0.988393776646245,-8.575418800259408,2.441314874874285,96.80442194491292,832.0,FEW-SOURCE
glm4_32b,CONCENTRATED,0,116.78818466896077,1.530862771499175,0.4656373610992978,2.399776303619611,71902.50542754898,73538.51119369741,286720.0,CONCENTRATED
glm4_9b,FEW-SOURCE,1,15.058680250329006,3.25964317662735,0.8851664517327001,8.906871226887738,28.96349399892712,37.736672378031194,414.0,FEW-SOURCE
gpt2,FEW-SOURCE,3,40.803091923934794,3.05141038484784,0.5506723264216654,25.647438467985445,4.953678179305064,3.9858914960420195,165.875,FEW-SOURCE
gptj_6b,CONCENTRATED,2,14.415525385936714,2.517015044623058,0.99848865630077,-14.288955830253421,9.394535077515206,239.58824052246905,3434.0,CONCENTRATED
llama2_13b,FEW-SOURCE,0,9.741008297354337,1.324023468472286,0.9719061971742743,16.687812222543275,0.03675922569961659,3.5560824439211993,60.9375,FEW-SOURCE
llama2_7b_chat,,26,4.947650068901853,1.0414332934956245,0.00011278740980448439,0.025664327783475778,1.3147860087643133,0.46441736076225637,3.119140625,
llama3.1_8b,FEW-SOURCE,1,5.104774542618423,1.384803003243723,0.9984083473259786,-20.690948494959805,-0.88771692097167,14.625979670800772,299.0,FEW-SOURCE
mistral_7b_v03,CONCENTRATED,0,1.2922083003133642,1.0800262920387762,0.0016742088646224537,-0.0771929852188329,0.04077869767423285,0.12929843504473137,1.1689453125,CONCENTRATED
opt_6.7b,ANOMALY_NO_MLP_RESPONSE,1,19.468694428843218,2.527157887269361,0.9801733176034161,-24.76763308159594,0.9556694237007264,1.3507620554833872,37.8125,ANOMALY_NO_MLP_RESPONSE
qwen1.5_14b,DISPERSED,35,5.567671863940475,1.046782067481334,0.9567130917816936,68.01407640409965,-100.43138702694964,99.7933843907739,7080.0,DISPERSED
qwen2.5_0.5b,CONCENTRATED,0,3.75191537152677,1.4836073529764735,0.5121845342241116,1.6913402293561584,0.833017382494597,0.9043197231531661,3.138671875,CONCENTRATED
qwen2.5_7b,CONCENTRATED,3,17.02716420358704,2.6422504644696674,0.9999487722205335,13.356681425318532,1.91545433792232,724.0464999209357,9656.0,CONCENTRATED
qwen2_7b,CONCENTRATED,3,16.458057857404615,2.8382876736329177,0.9998874751382515,-12.47500335254364,1.975547293665386,456.7265844621404,5692.0,CONCENTRATED
qwen3.5_27b,DISPERSED,54,3.651047364699138,1.1213304356369127,0.9851671713991522,-3.882188384962398,1.3588791770117634,140.1078326821449,556.0,DISPERSED
qwen3.5_35b_a3b,FEW-SOURCE,9,0.04789663803638028,1.0339348475086496,0.0012226515155373755,-0.014770891129648387,0.047853400242701224,0.20298216835317479,0.158203125,FEW-SOURCE
qwen3.5_9b,DISPERSED,22,3.1087375436711264,1.0639106777377545,0.7347431281415553,-3.3521348277318848,2.6132402034444144,22.263359781727505,103.5,DISPERSED
qwen3_0.6b,CONCENTRATED,2,3.9961335608620088,1.405140303929747,0.9999933413306707,4.736649395250372,0.017568669442561635,1381.4897751005585,6544.0,CONCENTRATED
qwen3_1.7b,FEW-SOURCE,2,6.925946432419465,1.327422486998239,0.9383834498085178,-370.4555761608152,-111.74146409264195,28.392159723084802,12072.0,FEW-SOURCE
qwen3_14b,DISPERSED,6,16.96444176096835,1.33336494324026,0.9998876667053658,-81.6599019335859,-5.455424963754933,154.562607197827,12616.0,DISPERSED
qwen3_30b_a3b,DISPERSED,1,0.20368550142344616,1.169758717603588,0.3806150264586773,-51.86015281033855,-0.31041753854965165,0.5988893988703519,76.0,DISPERSED
qwen3_32b,DISPERSED,6,21.449751580478978,1.3478148811992612,0.9999538831885976,-33.440429402832685,-3.353151256032536,578.1182705435361,19344.0,DISPERSED
qwen3_4b,FEW-SOURCE,6,6.243075157679903,1.2373078186937676,0.999579326353741,-25.355804616481464,-7.83371114797699,236.64772746046856,6000.0,FEW-SOURCE
qwen3_8b,DISPERSED,6,10.105922230137732,1.4755493176952115,0.9994595662878626,41.05369949283097,-14.197139128381913,241.85904749280462,9928.0,DISPERSED
yi_9b,DISPERSED,8,5.40836769836273,1.434351068350148,0.8760550278923405,-81.49470669753248,1.3890906185882947,28.27320723087977,718.5,DISPERSED
