model,category,layer,sigma1,single_baseline,single_ablated,single_delta_pct,macro_sigma1,macro_delta_pct
bloom_7b1,CONCENTRATED,3,15.11251163482666,119.90625,109.63541666666667,-8.565719746329593,,
falcon_7b,FEW-SOURCE,3,13.275040626525879,1193.6666666666667,22.273177083333334,-98.13405386065345,11220.3505859375,-97.42551836079308
glm4_32b,CONCENTRATED,0,116.74832916259766,301192.5333333333,9614.933333333332,-96.80771192203082,954371072.0,-17.078422484134176
glm4_9b,FEW-SOURCE,1,15.062995910644531,470.93333333333334,252.16666666666666,-46.45385050962628,39492.421875,-81.75592960979343
gpt2,FEW-SOURCE,3,40.8055419921875,2648.4666666666667,2476.8,-6.481737860900641,14869.142578125,-94.60529048254335
gptj_6b,CONCENTRATED,2,14.419354438781738,3677.4,37.05625,-98.99232474030565,20746.77734375,-99.08612686046301
llama2_13b,FEW-SOURCE,0,9.743122100830078,64.759375,2.827018229166667,-95.6345807395969,39634.8046875,-28.57298686188006
llama2_7b_chat,,1,6.60770320892334,2175.866666666667,94.52291666666666,-95.65584977633434,,
llama3.1_8b,FEW-SOURCE,1,5.106219291687012,320.1458333333333,22.325,-93.02661547471855,2872.07373046875,-99.80419199151484
mistral_7b_v03,CONCENTRATED,0,1.2924787998199463,1.4649088541666666,0.24676513671875,-83.15491533709613,,
opt_6.7b,ANOMALY_NO_MLP_RESPONSE,1,19.472166061401367,216.175,178.24583333333334,-17.54558421032343,,
qwen1.5_14b,DISPERSED,35,5.569987773895264,7657.466666666666,3883.4666666666667,-49.28522923159965,29468.23046875,-12.625281775619898
qwen2.5_0.5b,CONCENTRATED,0,3.752138376235962,3.153515625,1.41767578125,-55.044593088071345,,
qwen2.5_7b,CONCENTRATED,3,17.029132843017578,8730.872916666667,72.88359375,-99.16521985320769,,
qwen2_7b,CONCENTRATED,3,16.459102630615234,5668.666666666667,78.65208333333334,-98.6125117605551,,
qwen3.5_27b,DISPERSED,54,3.652482271194458,755.3333333333334,166.7,-77.93027360988528,4866.9775390625,-0.3808717731697019
qwen3.5_35b_a3b,FEW-SOURCE,9,0.0478985421359539,4.855729166666666,4.858333333333333,0.053630805534705235,3003.326416015625,0.5229734777736399
qwen3.5_9b,DISPERSED,22,3.1101417541503906,175.66666666666666,52.391666666666666,-70.17552182163188,3082.75732421875,-0.24866785079929055
qwen3_0.6b,CONCENTRATED,2,3.9961633682250977,6665.066666666667,465.96666666666664,-93.00882211730817,,
qwen3_1.7b,FEW-SOURCE,2,6.927693843841553,12422.133333333333,1634.5333333333333,-86.84176630959793,82591.703125,-99.83850816467942
qwen3_14b,DISPERSED,6,16.967206954956055,12792.8,825.3666666666667,-93.54819377566548,135087.6875,-88.16367814886664
qwen3_30b_a3b,DISPERSED,1,0.20369809865951538,80.74166666666666,80.05833333333334,-0.8463205697182243,7196.9208984375,-0.3657793131477307
qwen3_32b,DISPERSED,6,21.45124053955078,20501.333333333332,430.6,-97.89964880332988,71743.4375,-86.34875483039932
qwen3_4b,FEW-SOURCE,6,6.24075984954834,8051.6,409.29583333333335,-94.91659007733453,50097.984375,-99.67941730820023
qwen3_8b,DISPERSED,6,10.108763694763184,10616.666666666666,471.4166666666667,-95.55965463108322,61096.56640625,-99.6435066291486
yi_9b,DISPERSED,8,5.40839958190918,5111.266666666666,352.10833333333335,-93.11113357419556,33778.55859375,-99.16759142680341
